Time of Day,Temperature,Humidity,CO2_InfraredSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level
morning,19.63,53.83,125.48638889386146,478.5549582028,654.6252532140873,565.0519685835508,2.0,7241,off,very_dim,Low Activity
morning,20.17,53.69,126.34301779230884,491.9551506464708,655.7343273148092,557.0784856835143,1.0,7241,ventilation_only,bright,Low Activity
morning,19.62,54.25,126.56069531734414,505.5608077934648,649.9624212629468,558.065195746407,1.0,7241,eco_mode,very_bright,Low Activity
morning,20.1,50.48,113.50487704868364,515.1422715558518,676.1500748247732,600.2222103172311,2.0,7241,eco_mode,very_bright,High Activity
morning,19.89,48.42,92.76622507456489,535.6645576400663,720.2740187904077,625.7311243174377,1.0,7241,heating_active,moderate,Low Activity
afternoon,19.82,47.71,79.48974205084569,557.9291775408971,738.8765912121428,664.8865313250573,1.0,7241,ventilation_only,very_bright,Low Activity
night,20.04,48.42,118.29352940659398,474.7774174673248,694.9394469118581,628.884979824907,1.0,6431,heating_active,bright,Low Activity
night,19.29,52.67,136.29268020578434,474.92486645365545,680.5110116060758,622.2750670060215,1.0,7963,maintenance_mode,bright,Moderate Activity
afternoon,20.17,47.92,74.10032167335173,564.7450913466777,753.4679861239468,674.2782451406838,0.0,7241,maintenance_mode,very_bright,Low Activity
night,19.81,47.28,8.964022406635635,464.8281300062651,687.7147442288735,622.8366021417831,1.0,2105,ventilation_only,very_bright,Low Activity
afternoon,19.19,49.51,78.75234477313136,579.9196607457541,752.1203892953824,676.6998013449006,0.0,7241,cooling_active,bright,Moderate Activity
afternoon,19.71,48.68,80.16133178072401,575.4915883395371,732.34900920348,667.927995478814,0.0,7241,eco_mode,very_bright,Moderate Activity
morning,17.79,51.15,116.5550379338856,456.4267355737568,691.3083639514099,609.6048352561279,1.0,3418,ventilation_only,very_bright,Moderate Activity
afternoon,19.51,49.93,85.29428449498913,544.4505050111321,717.6649253125404,636.1139645194859,0.0,7241,eco_mode,very_bright,Moderate Activity
afternoon,19.66,50.04,81.19902144368817,548.390928935506,709.1511396223749,629.2013884764899,0.0,7241,off,dim,Moderate Activity
morning,18.53,53.28,80.14837535140387,596.6545941127027,750.3036807620008,700.0750866026137,0.0,1903,heating_active,very_bright,Low Activity
afternoon,19.26,51.57,86.13190538964307,538.6123728986223,709.5103772467531,622.4987118688387,0.0,7241,cooling_active,dim,Moderate Activity
afternoon,19.73,50.62,91.73610744435756,527.8698811221576,703.6746133463873,618.3864994228346,0.0,7241,heating_active,very_bright,High Activity
morning,18.74,52.3,113.24318932927537,433.3942116912295,667.2580885998141,592.0582827639829,3.0,5172,heating_active,bright,Low Activity
afternoon,19.57,51.23,91.1684991852278,537.7130120734746,709.8239440245923,621.4930280060298,2.0,7241,maintenance_mode,very_bright,Moderate Activity
afternoon,19.55,51.58,89.72130174950759,544.8598119863136,696.2430184195455,611.7152442855697,1.0,7241,cooling_active,dim,Low Activity
afternoon,19.96,50.99,86.20857273092153,524.7181618662332,694.8627473922802,609.1289381922659,1.0,7241,eco_mode,moderate,Low Activity
afternoon,19.55,51.88,88.87694252562946,538.7934543343218,705.4090870644176,616.0198046599094,1.0,7241,eco_mode,bright,Moderate Activity
morning,19.25,54.37,112.5087738828019,496.938842149543,701.4224037480071,638.8263677600597,1.0,1826,ventilation_only,very_bright,Moderate Activity
afternoon,20.17,51.95,84.58108493177889,534.9059505673084,717.7705877693243,617.5138075095002,1.0,7241,eco_mode,very_bright,Moderate Activity
afternoon,19.46,53.2,81.85035146477381,538.9745554373799,488.8087652778428,625.0885787491611,1.0,7241,maintenance_mode,very_dim,Low Activity
night,18.26,50.82,125.73975815027084,480.79752215167673,706.5765293985925,642.2438195137075,1.0,6431,heating_active,moderate,Low Activity
morning,19.67,50.12,79.58507108385548,517.3523832594364,549.2919936795854,667.0307183150843,1.0,3856,ventilation_only,very_bright,Moderate Activity
afternoon,22.415,51.34,115.2036945122518,499.8738955692712,802.5712647162549,575.3557903389473,2.0,4761,ventilation_only,very_bright,Low Activity
afternoon,17.92,44.65,88.62477039778327,531.0403558636086,683.9103616817829,604.7841162872111,0.0,3418,maintenance_mode,bright,High Activity
afternoon,20.52,53.2,88.13180383650743,506.6765866034344,689.9855337154,611.7378219089497,2.0,7241,cooling_active,bright,Moderate Activity
morning,17.95,54.83,103.53299051750672,517.8408078616723,728.8254421044302,663.528166343362,1.0,9658,off,very_bright,Moderate Activity
night,20.69,47.47,113.84106497478012,452.054969211032,689.0688304487823,616.0613431534491,2.0,6431,off,very_bright,High Activity
morning,19.56,56.21,137.54577547024024,431.2803262903278,649.0006286688549,572.4029025108867,2.0,6528,cooling_active,dim,High Activity
afternoon,19.75,50.36,82.03150153111737,430.58696302118375,716.4902937344065,651.7046802060366,1.0,7241,off,moderate,High Activity
evening,24.02,48.39,128.69236054707457,386.7972755153155,543.8568344830335,477.8598814844246,4.0,7058,maintenance_mode,bright,Low Activity
afternoon,20.68,53.2,82.11963477003951,428.65748146049594,718.5465509878054,637.9022107044507,1.0,7241,cooling_active,very_bright,Moderate Activity
afternoon,20.51,49.3,72.22827130716726,383.9489891967456,718.5322228980643,635.695609619272,1.0,7241,eco_mode,very_bright,Moderate Activity
morning,19.64,51.5,139.90216812296558,476.97129434548015,682.6967427992196,607.5773120508436,1.0,4507,off,dim,Moderate Activity
afternoon,20.14,49.06,78.41885375184202,365.9180053894789,722.7033654659743,632.2089035570311,2.0,7241,maintenance_mode,very_bright,Moderate Activity
afternoon,20.46,48.68,86.69215989989466,365.93929868285807,719.0648205914907,642.7942882171255,1.0,7241,cooling_active,bright,High Activity
afternoon,20.17,49.76,82.71034869962773,344.9327948144589,706.426362164007,620.1744522019629,1.0,7241,cooling_active,moderate,Moderate Activity
afternoon,20.17,49.07,74.4119451101567,399.0227684679477,705.7972156560736,624.8781929937154,1.0,7241,eco_mode,bright,High Activity
afternoon,22.615000000000002,47.17,78.71040024773285,520.4553978470309,713.6298824964149,661.1876421657805,0.0,4703,heating_active,moderate,Moderate Activity
afternoon,20.43,50.1,83.17976872178201,386.8765498364717,711.6768661317448,631.0229402214426,1.0,7241,cooling_active,dim,High Activity
afternoon,20.62,49.78,80.43205163699889,411.5806082934452,701.6077081448552,617.4683552446237,1.0,7241,off,very_bright,High Activity
evening,24.18,50.84,142.13385923937366,426.2101514152061,584.6726126555388,511.7764160089818,3.0,1903,heating_active,bright,Low Activity
afternoon,20.17,51.22,93.4549862507796,359.6325525786427,694.8760740376765,616.6848926950053,2.0,7241,off,very_bright,Low Activity
evening,22.5,55.28,133.21845630277076,404.10110377692433,621.5413695212767,553.2715135305243,2.0,4761,maintenance_mode,dim,Low Activity
afternoon,22.99,51.07,116.78090387040804,402.1802107030784,615.5590611013749,534.3781788829526,4.0,4703,cooling_active,bright,Low Activity
afternoon,20.19,53.2,89.47090952631116,405.0713457368825,698.4774800538834,621.0034074530006,1.0,7241,heating_active,very_bright,Low Activity
afternoon,20.11,51.83,91.1358812843412,400.62634966664825,705.7455041312475,627.2715694158767,1.0,7241,off,very_dim,Low Activity
night,20.46,52.84,104.57363217698487,488.8969040368753,674.2406766152433,606.4703006386231,1.0,4703,heating_active,bright,Low Activity
night,21.93,49.83,15.685147504515598,445.039258591257,675.3234012944197,593.1666960723312,1.0,9127,cooling_active,bright,Moderate Activity
morning,33.04131803610064,51.67,105.63099753884984,486.4483409496656,712.4019564404541,628.5009427812734,1.0,8374,cooling_active,moderate,High Activity
afternoon,19.73,52.82,90.26054296259922,402.7350774046134,693.7585075175344,626.5108585713275,1.0,7241,maintenance_mode,dim,Moderate Activity
afternoon,19.66,53.02,88.5550789481028,393.8452770421805,691.9522115661499,615.9516327522938,1.0,7241,cooling_active,bright,Moderate Activity
afternoon,21.73,53.28,97.11228360986809,479.16925408829815,683.2899471637777,603.6644785864092,1.0,1903,eco_mode,bright,Low Activity
morning,19.47,54.11,101.7128459123834,459.3922109001943,670.005692370163,596.3442457510305,1.0,6528,off,very_bright,Moderate Activity
morning,17.14,43.94,97.56472474585796,390.6608603470543,713.8417480354558,606.3444524296332,1.0,3418,ventilation_only,moderate,Moderate Activity
afternoon,19.25,54.18,85.5083014374421,397.6325161212171,704.2543303097766,630.1947789749672,1.0,7241,eco_mode,very_dim,High Activity
afternoon,19.15,53.2,81.53037662369432,407.35011105556663,708.4616166779483,621.1301687912221,1.0,7241,maintenance_mode,moderate,Moderate Activity
afternoon,19.25,54.29,82.72854916707328,431.5920421479661,704.7426548312394,638.3050468650196,1.0,7241,heating_active,very_bright,Moderate Activity
afternoon,19.36,53.2,86.91719748451638,416.654894013533,693.9165191100807,623.6948902408401,1.0,7241,maintenance_mode,bright,Low Activity
evening,21.91,45.84,124.913681207635,483.456712201135,676.7541451484385,595.008023587761,2.0,2679,maintenance_mode,very_bright,Low Activity
afternoon,20.21,52.43,92.16789598157985,470.9050644835199,696.0178986810851,625.5659550459793,1.0,7241,heating_active,bright,Low Activity
afternoon,20.88,51.1,87.69348040648408,466.6780732526501,691.7519225670637,631.0883073390794,1.0,7241,heating_active,dim,Low Activity
afternoon,21.23,53.2,93.08604725416076,469.68620805121634,695.0709449220561,620.4838813898104,1.0,7241,heating_active,bright,Low Activity
afternoon,21.58,50.26,85.4337311333106,470.0308687656501,557.8262503031707,603.9267074766524,1.0,7241,heating_active,very_bright,Low Activity
evening,19.87,50.52,113.2219155059498,432.10373927377617,669.5146567715713,595.5160529703986,2.0,6431,maintenance_mode,bright,Low Activity
afternoon,21.09,52.71,96.59124055755932,487.5699134170488,698.9965362032519,604.7334143496207,1.0,7241,ventilation_only,dim,Moderate Activity
afternoon,21.57,51.77,97.77632534547683,477.9990715880249,699.7912696059141,621.2808975109427,1.0,7241,ventilation_only,very_bright,Moderate Activity
afternoon,21.75,51.55,95.36183471922072,477.0940318174085,689.8815947230487,610.4714653330235,1.0,7241,heating_active,bright,Moderate Activity
afternoon,21.68,53.2,103.22161530710808,463.8974843512984,689.7375603501696,616.5010493402897,1.0,7241,ventilation_only,bright,Low Activity
evening,20.0,52.64,100.34536330922164,462.31081894724775,690.5173228235436,625.4550465532137,1.0,6528,eco_mode,very_bright,Moderate Activity
night,20.59,53.55,112.05749067079122,455.5887162892148,697.3526171963898,592.685806227289,1.0,5693,eco_mode,dim,Low Activity
afternoon,21.93,53.2,100.18590220005568,481.4242535546268,688.9636088156515,612.2100089358585,1.0,7241,ventilation_only,very_bright,Moderate Activity
morning,17.87,43.78,72.3142569205544,542.3345066457618,759.7368186928221,696.5483921898293,0.0,2105,maintenance_mode,moderate,Low Activity
evening,22.21,51.93,96.844565791675,473.494847116455,684.7576773897817,608.7123100751212,1.0,7241,cooling_active,moderate,High Activity
afternoon,18.68,52.6,122.7645119827265,459.35946620658336,698.5344524098117,627.1490102677003,1.0,4129,cooling_active,bright,Moderate Activity
evening,8.49929341841348,51.84,104.23765391956633,473.9369722872091,676.3062555275143,608.4155720035253,1.0,7241,heating_active,bright,Low Activity
morning,19.81,58.73,210.93638624288917,497.946800434664,600.7849883967051,541.389787278598,1.0,8936,heating_active,bright,Low Activity
evening,22.74,51.42,101.34953816870404,481.9883361217004,682.609064095536,607.4330888893875,1.0,7241,heating_active,bright,Low Activity
night,19.4,52.73,123.26790163036844,442.0368540031224,840.8637737632056,612.4751954638402,1.0,6847,cooling_active,very_bright,Moderate Activity
evening,22.92,51.21,104.2646773105038,467.6957995702976,678.7411015831752,604.8789298534616,1.0,7241,cooling_active,moderate,Low Activity
evening,23.08,50.95,103.59775753263226,475.0609341035408,682.3023267125097,603.7554603484892,1.0,7241,heating_active,moderate,High Activity
